pmid,n_sentences,ner,warning,syntactic,numerical,umls,n_detectors_firing
34269321,10,True,False,True,True,True,4
34316351,6,True,False,True,True,True,4
34322344,7,True,True,False,False,True,3
34331766,7,True,True,True,True,True,5
34332661,5,True,True,True,False,True,4
34346706,18,True,False,True,True,True,4
34370971,18,True,True,True,True,True,5
34371933,9,True,False,True,True,True,4
34383735,12,True,True,True,True,True,5
34395220,17,True,False,False,True,True,3
34408570,10,True,False,True,True,True,4
34409778,9,True,True,True,True,True,5
34414933,9,True,True,True,True,False,4
34486178,10,True,False,True,False,False,2
34493880,7,True,False,True,False,False,2
34499954,7,True,False,True,False,True,3
34504054,7,True,False,True,False,True,3
34507112,11,True,False,True,True,True,4
34508086,6,True,False,True,False,False,2
34508491,7,True,True,True,False,True,4
34515659,14,True,True,True,True,True,5
34517257,15,True,False,True,True,True,4
34521513,8,True,True,True,True,True,5
34531331,8,True,False,True,False,True,3
34535317,11,True,False,True,True,True,4
34537363,10,True,False,True,True,True,4
34540382,7,True,True,True,False,True,4
34540633,17,True,False,True,False,True,3
34541483,10,True,True,True,True,True,5
34541573,7,True,False,True,False,True,3
34547524,15,True,True,True,True,True,5
34547765,6,True,True,True,True,False,4
34549987,15,True,False,True,True,True,4
34552949,4,False,False,True,True,True,3
34552950,9,True,False,True,True,True,4
34555986,10,True,False,True,True,True,4
34556486,16,True,True,True,True,True,5
34558034,10,True,True,False,True,True,4
34559576,8,True,True,True,False,True,4
34562551,12,True,True,True,True,True,5
34569949,11,True,False,True,True,True,4
34571039,8,True,True,True,False,True,4
34576985,7,True,False,True,False,True,3
34577851,5,True,False,True,False,True,3
34578187,7,True,False,True,False,True,3
34578229,9,True,False,True,False,False,2
34578462,13,True,False,True,False,True,3
34578855,15,True,True,True,True,False,4
34578858,7,True,True,True,False,True,4
34579048,11,True,False,True,True,True,4
34579572,12,True,False,True,True,True,4
34581763,13,True,False,True,True,True,4
34585235,9,True,False,True,False,False,2
34586557,5,True,False,True,False,False,2
34588822,4,True,False,True,False,False,2
34599830,6,True,False,True,False,True,3
34600555,11,True,False,True,True,True,4
34601537,10,True,False,True,True,True,4
34638000,7,True,False,True,True,True,4
34638664,8,True,False,True,False,True,3
34638669,8,True,False,True,True,True,4
34654834,7,True,False,True,True,True,4
34656508,5,True,False,True,False,False,2
34664478,5,True,True,True,False,True,4
34668722,15,True,False,True,True,True,4
34669343,3,True,True,True,False,True,4
34671773,10,True,False,True,True,True,4
34692658,6,True,False,True,False,True,3
34711245,12,True,False,True,True,True,4
34753868,9,True,False,True,True,True,4
34755109,9,True,False,True,True,True,4
34758150,10,True,False,True,True,True,4
34883053,11,True,True,True,True,True,5
34910739,9,False,False,True,False,True,2
34918097,6,True,True,True,False,True,4
34967441,6,True,False,True,True,True,4
35011028,9,True,False,False,False,False,1
35051204,10,True,False,True,True,True,4
35057447,12,True,False,True,True,False,3
35057798,9,True,False,True,True,True,4
35074891,14,True,False,True,True,True,4
35081293,12,True,False,True,True,True,4
35091117,9,True,False,True,True,True,4
35099023,9,True,True,True,True,True,5
3512340,2,True,False,True,False,True,3
35126395,8,False,False,True,True,True,3
35131144,11,True,False,True,True,True,4
35147657,23,True,False,True,True,True,4
4061533,5,True,False,True,True,True,4
62945,8,True,False,True,True,True,4
7486360,13,True,True,True,True,True,5
7665723,11,True,False,True,True,True,4
7670427,4,True,False,True,False,False,2
7698623,15,True,False,False,True,True,3
7714222,12,True,True,True,True,True,5
7766949,6,True,False,True,False,True,3
7783363,9,True,False,True,True,False,3
7852252,7,True,True,True,True,True,5
7853374,4,True,False,True,False,True,3
7913608,6,True,True,False,False,True,3
7968718,9,True,False,True,True,False,3
8003613,9,True,False,True,True,True,4
8095725,8,True,False,True,True,True,4
8302491,6,True,False,True,False,True,3
8326015,9,True,False,True,True,False,3
8588056,8,True,False,True,True,True,4
8681309,9,True,True,True,True,True,5
8784216,16,True,True,True,True,True,5
8786012,13,True,False,True,True,True,4
8792380,10,True,False,False,True,True,3
8857777,7,True,False,True,False,False,2
9054938,10,True,False,True,False,False,2
9483156,30,True,False,True,True,False,3
9540949,11,True,False,True,True,True,4
9600581,7,True,False,True,True,True,4
9803200,6,True,True,True,True,True,5
PMC3872591,8,True,False,True,False,True,3
